Table 1
,,,,,,
,Scientific name,English name,Family,Global IUCN Red List Category,,
,Rallus semiplumbeus,Bogota Rail,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Aramidopsis plateni,Snoring Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Lewinia muelleri,Auckland Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Habroptila wallacii,Drummer Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Gallirallus calayanensis,Calayan Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Gallirallus lafresnayanus,New Caledonian Rail,"Rallidae (Rails, Gallinules, Coots)",CR,,
,Gallirallus australis,Weka,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Cabalus modestus,Chatham Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Hypotaenidia okinawae,Okinawa Rail,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Hypotaenidia poeciloptera,Bar-winged Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Hypotaenidia tertia,Bougainville Rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Hypotaenidia immaculata,Santa Isabel Rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Hypotaenidia woodfordi,Guadalcanal Rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Hypotaenidia rovianae,Roviana Rail,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Hypotaenidia owstoni,Guam Rail,"Rallidae (Rails, Gallinules, Coots)",CR,,
,Hypotaenidia dieffenbachii,Dieffenbach's Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Hypotaenidia sylvestris,Lord Howe Woodhen,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Hypotaenidia pacifica,Tahiti Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Dryolimnas augusti,Reunion Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Crex crex,Corncrake,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Mundia elpenor,Ascension Crake,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Cyanolimnas cerverai,Zapata Rail,"Rallidae (Rails, Gallinules, Coots)",CR,,
,Gymnocrex rosenbergii,Blue-faced Rail,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Gymnocrex talaudensis,Talaud Rail,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Zapornia astrictocarpus,St Helena Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Zapornia palmeri,Laysan Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Zapornia olivieri,Sakalava Rail,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Zapornia sandwichensis,Hawaiian Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Zapornia nigra,Miller's Rail,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Zapornia atra,Henderson Crake,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Zapornia monasa,Kosrae Crake,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Amaurornis magnirostris,Talaud Bush-hen,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Megacrex inepta,New Guinea Flightless Rail,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Porphyrio paepae,Marquesan Swamphen,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Porphyrio kukwiedei,New Caledonia Gallinule,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Porphyrio hochstetteri,South Island Takahe,"Rallidae (Rails, Gallinules, Coots)",EN,,
,Pareudiastes silvestris,Makira Moorhen,"Rallidae (Rails, Gallinules, Coots)",CR,,
,Pareudiastes pacificus,Samoan Moorhen,"Rallidae (Rails, Gallinules, Coots)",CR,,
,Gallinula nesiotis,Tristan Moorhen,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Gallinula comeri,Gough Moorhen,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Tribonyx hodgenorum,Hodgen's Waterhen,"Rallidae (Rails, Gallinules, Coots)",EX,,
,Fulica cristata,Red-knobbed Coot,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Fulica atra,Common Coot,"Rallidae (Rails, Gallinules, Coots)",LC,,
,Fulica alai,Hawaiian Coot,"Rallidae (Rails, Gallinules, Coots)",VU,,
,Fulica cornuta,Horned Coot,"Rallidae (Rails, Gallinules, Coots)",NT,,
,Grus vipio,White-naped Crane,Gruidae (Cranes),VU,,
,Grus antigone,Sarus Crane,Gruidae (Cranes),VU,,
,Bugeranus carunculatus,Wattled Crane,Gruidae (Cranes),VU,,
,Anthropoides paradiseus,Blue Crane,Gruidae (Cranes),VU,,
,Grus americana,Whooping Crane,Gruidae (Cranes),EN,,
,Grus monacha,Hooded Crane,Gruidae (Cranes),VU,,
,Grus nigricollis,Black-necked Crane,Gruidae (Cranes),NT,,
,Tetrax tetrax,Little Bustard,Otididae (Bustards),NT,,
,Chlamydotis undulata,African Houbara,Otididae (Bustards),VU,,
,Chlamydotis macqueenii,Asian Houbara,Otididae (Bustards),VU,,
,Ardeotis nigriceps,Great Indian Bustard,Otididae (Bustards),CR,,
,Ardeotis australis,Australian Bustard,Otididae (Bustards),LC,,
,Sypheotides indicus,Lesser Florican,Otididae (Bustards),EN,,
,Afrotis afra,Southern Black Bustard,Otididae (Bustards),VU,,
,Tauraco ruspolii,Ruspoli's Turaco,Musophagidae (Turacos),VU,,
,Aptenodytes patagonicus,King Penguin,Spheniscidae (Penguins),LC,,
,Pygoscelis papua,Gentoo Penguin,Spheniscidae (Penguins),LC,,
,Eudyptes schlegeli,Royal Penguin,Spheniscidae (Penguins),NT,,
,Eudyptes chrysolophus,Macaroni Penguin,Spheniscidae (Penguins),VU,,
,Eudyptes moseleyi,Northern Rockhopper Penguin,Spheniscidae (Penguins),EN,,
,Eudyptes chrysocome,Southern Rockhopper Penguin,Spheniscidae (Penguins),VU,,
,Eudyptes pachyrhynchus,Fiordland Penguin,Spheniscidae (Penguins),NT,,
,Eudyptes robustus,Snares Penguin,Spheniscidae (Penguins),VU,,
,Megadyptes antipodes,Yellow-eyed Penguin,Spheniscidae (Penguins),EN,,
,Eudyptula minor,Little Penguin,Spheniscidae (Penguins),LC,,
,Spheniscus demersus,African Penguin,Spheniscidae (Penguins),EN,,
,Spheniscus magellanicus,Magellanic Penguin,Spheniscidae (Penguins),LC,,
,Spheniscus humboldti,Humboldt Penguin,Spheniscidae (Penguins),VU,,
,Spheniscus mendiculus,Galapagos Penguin,Spheniscidae (Penguins),EN,,
,Oceanites oceanicus,Wilson's Storm-petrel,Oceanitidae (Southern Storm-petrels),LC,,
,Oceanites gracilis,White-vented Storm-petrel,Oceanitidae (Southern Storm-petrels),DD,,
,Garrodia nereis,Grey-backed Storm-petrel,Oceanitidae (Southern Storm-petrels),LC,,
,Pelagodroma marina,White-faced Storm-petrel,Oceanitidae (Southern Storm-petrels),LC,,
,Fregetta maoriana,New Zealand Storm-petrel,Oceanitidae (Southern Storm-petrels),CR,,
,Nesofregetta fuliginosa,Polynesian Storm-petrel,Oceanitidae (Southern Storm-petrels),EN,,
,Hydrobates pelagicus,European Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates jabejabe,Cape Verde Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates castro,Band-rumped Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates monteiroi,Monteiro's Storm-petrel,Hydrobatidae (Northern Storm-petrels),VU,,
,Hydrobates matsudairae,Matsudaira's Storm-petrel,Hydrobatidae (Northern Storm-petrels),VU,,
,Hydrobates melania,Black Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates homochroa,Ashy Storm-petrel,Hydrobatidae (Northern Storm-petrels),EN,,
,Hydrobates microsoma,Least Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates tethys,Wedge-rumped Storm-petrel,Hydrobatidae (Northern Storm-petrels),LC,,
,Hydrobates socorroensis,Townsend's Storm-petrel,Hydrobatidae (Northern Storm-petrels),EN,,
